Ligand	Receptor	Source
COL4A1	ITGA1	Ramilowski et al. 2015
COL4A1	ITGB1	Ramilowski et al. 2015
COL4A1	ITGB8	Ramilowski et al. 2015
COL5A3	SDC3	Ramilowski et al. 2015
CORT	GHSR	Ramilowski et al. 2015
CORT	MRGPRX2	Ramilowski et al. 2015
CORT	SSTR1	Ramilowski et al. 2015
CORT	SSTR2	Ramilowski et al. 2015
CORT	SSTR3	Ramilowski et al. 2015
CORT	SSTR4	Ramilowski et al. 2015
CORT	SSTR5	Ramilowski et al. 2015
CRH	CRHR1	Ramilowski et al. 2015
CRH	CRHR2	Ramilowski et al. 2015
CRH	MC2R	Ramilowski et al. 2015
CSF1	CSF1R	Ramilowski et al. 2015
CSF2	CSF1R	Ramilowski et al. 2015
CSF2	CSF2RA	Ramilowski et al. 2015
CSF2	CSF2RB	Ramilowski et al. 2015
CSF2	CSF3R	Ramilowski et al. 2015
CSF3	CSF1R	Ramilowski et al. 2015
CSF3	CSF3R	Ramilowski et al. 2015
CSH1	PRLR	Ramilowski et al. 2015
CSH2	PRLR	Ramilowski et al. 2015
CSHL1	PRLR	Ramilowski et al. 2015
CTF1	IL6ST	Ramilowski et al. 2015
CTF1	LIFR	Ramilowski et al. 2015
CTGF	ITGAM	Ramilowski et al. 2015
CTGF	ITGB2	Ramilowski et al. 2015
CTGF	LRP6	Ramilowski et al. 2015
CX3CL1	CX3CR1	Ramilowski et al. 2015
CXCL10	CCR3	Ramilowski et al. 2015
CXCL10	CXCR3	Ramilowski et al. 2015
CXCL11	ACKR3	Ramilowski et al. 2015
CXCL11	CCR3	Ramilowski et al. 2015
CXCL11	CXCR3	Ramilowski et al. 2015
CXCL12	ACKR3	Ramilowski et al. 2015
CXCL12	CXCR3	Ramilowski et al. 2015
CXCL12	CXCR4	Ramilowski et al. 2015
CXCL13	CXCR5	Ramilowski et al. 2015
CXCL16	CXCR6	Ramilowski et al. 2015
CXCL1	CXCR1	Ramilowski et al. 2015
CXCL1	CXCR2	Ramilowski et al. 2015
CXCL2	CXCR1	Ramilowski et al. 2015
CXCL2	CXCR2	Ramilowski et al. 2015
CXCL2	XCR1	Ramilowski et al. 2015
CXCL3	CXCR1	Ramilowski et al. 2015
CXCL3	CXCR2	Ramilowski et al. 2015
CXCL5	CXCR1	Ramilowski et al. 2015
CXCL5	CXCR2	Ramilowski et al. 2015
CXCL6	CXCR1	Ramilowski et al. 2015
CXCL6	CXCR2	Ramilowski et al. 2015
CXCL9	CCR3	Ramilowski et al. 2015
CXCL9	CXCR3	Ramilowski et al. 2015
CYR61	ITGA5	Ramilowski et al. 2015
CYR61	ITGAM	Ramilowski et al. 2015
CYR61	ITGB2	Ramilowski et al. 2015
CYR61	ITGB3	Ramilowski et al. 2015
DEFB4A	CCR6	Ramilowski et al. 2015
DEFB4B	CCR6	Ramilowski et al. 2015
DHH	HHIP	Ramilowski et al. 2015
DHH	PTCH2	Ramilowski et al. 2015
DKK1	KREMEN1	Ramilowski et al. 2015
DKK1	KREMEN2	Ramilowski et al. 2015
DKK1	LRP6	Ramilowski et al. 2015
DKK2	LRP6	Ramilowski et al. 2015
DLK1	NOTCH1	Ramilowski et al. 2015
DLL1	NOTCH1	Ramilowski et al. 2015
DLL1	NOTCH2	Ramilowski et al. 2015
DLL1	NOTCH3	Ramilowski et al. 2015
DLL4	NOTCH1	Ramilowski et al. 2015
DLL4	NOTCH2	Ramilowski et al. 2015
DLL4	NOTCH3	Ramilowski et al. 2015
DLL4	NOTCH4	Ramilowski et al. 2015
EDA	EDA2R	Ramilowski et al. 2015
EDA	EDAR	Ramilowski et al. 2015
EDN1	EDNRA	Ramilowski et al. 2015
EDN2	EDNRA	Ramilowski et al. 2015
EDN3	EDNRB	Ramilowski et al. 2015
EFNA1	EPHA1	Ramilowski et al. 2015
EFNA1	EPHA2	Ramilowski et al. 2015
EFNA1	EPHA3	Ramilowski et al. 2015
EFNA1	EPHA4	Ramilowski et al. 2015
EFNA1	EPHA5	Ramilowski et al. 2015
EFNA1	EPHA6	Ramilowski et al. 2015
EFNA1	EPHA7	Ramilowski et al. 2015
EFNA1	EPHA8	Ramilowski et al. 2015
EFNA2	EPHA2	Ramilowski et al. 2015
EFNA2	EPHA3	Ramilowski et al. 2015
EFNA2	EPHA4	Ramilowski et al. 2015
EFNA2	EPHA5	Ramilowski et al. 2015
EFNA2	EPHA6	Ramilowski et al. 2015
EFNA2	EPHA7	Ramilowski et al. 2015
EFNA2	EPHA8	Ramilowski et al. 2015
EFNA3	EPHA1	Ramilowski et al. 2015
EFNA3	EPHA2	Ramilowski et al. 2015
EFNA3	EPHA3	Ramilowski et al. 2015
EFNA3	EPHA4	Ramilowski et al. 2015
EFNA3	EPHA5	Ramilowski et al. 2015
EFNA3	EPHA6	Ramilowski et al. 2015
